score,review,y
3,"한번이면 족한맛 가격이 비싸지만 양이 많음 단, 맛이 훌륭하지는 않고 그냥 특이한 쌀국수를 파는구나 정도 느낌 근처에 미분당이 훨씬 퀄리티 좋은 쌀국수를 판다",0
3,,0
4,"왜 사람들이 줄서서 먹는지 알겠는 맛이에요. 곱창이 약간 뻣뻣한 건 아쉬웠지만, 고소했고 먹을만 했음어요. 국물은 그레잇. 20분까지 기다릴만한 맛입니다.",1
5,쌀국수 다 맛있어요ㅠㅠ 직화불쇼도 해주세요,1
5,친절하고 맛도 괜찮음 짜조가 개인적으로 되게 맛있음,1
5,곱창쌀국수 만족,1
4,,1
3,,0
5,,1
2,기다릴 만큼 찾아갈 만큼 그정도 가치는 없는 것 같아요 맛있는 편이긴 합니다만 가격이랑 웨이팅 시간 생각하면 비추천이에요,0
5,누가 내 기도좀 막아주라 맥주안주하게 포장도 돼요??,1
5,,1
4,생각보다 그렇게 특색있진 않았지만 맛은 괜찮았다,1
5,"혼밥 하려고 검색해서 김밥이랑 떡볶이랑 먹어야지~ 하고 갔는데, 김밥한줄에 6500원이라서 처음에 띠용하고, 떡볶이가 일인분씩이 안되서 그냥 김밥만 먹고 가야지 했습니다.   근데 김밥이 제 생각보다 왕커서 와 이것만 먹고 두시간 지났어도 아직도 배부르네요. 왕 크고 마지막 꼬다리는 입에 못넣을정도로 컸어요ㅋㅋㅋㅋㅋ 맛도 있고ㅋㅋ  음식점도 깔끔하고 자리도...",1
4,가게 이쁨 김밥집 급하게 찾앗는데 잘먹엇어오ㆍㅇ,1
3,굿굿,0
3,그럭저럭 먹은듯,0
3,,0
3,맛이나 가격. 친절은 괜찮긴한데 자꾸 날파리 돌아다니길래 뭐지하고 옆에 벽에 봤더니 날파리들 진짜...와...... 내눈에 보인것만 20마리는 되는것같았음.. 같이 먹는 사람 비위상할까봐 얘기도못했는데 세스코 한번 부르세요... 이건 진짜 심함,0
4,맛은 그냥 그런데. 서빙 직원분이 되게 안 쉬고 일 하시고 친절했어요. 너무너무 비싸지만. 특이해서 한번 먹어볼 만은 했습니다~~~,1
5,,1
4,키토묵참 진짜 JMT...    ,1
4,매번 사람이 많고 정신 사나운게 흠인데....그만큼 장사가 잘되니까 그런거겠죠!ㅎㅎ 대기 시간 긴거 빼고는 만족해요 맛있습니다,1
1,"김밥맛은 나쁘지 않으나, 매장안 계란비린내가 진동함. 주방위생상태가 안좋을듯...",0
5,청결하고 맛있어요 트러플키토 먹으러 자주가요:),1
2,가게에 계란비린내 진동..비위가 상해서 다 먹진못했습니다. ,0
3,,0
5,,1
1,김밥에서 플라스틱 나옴 매장 테이블이랑 바닥도 더러운데 주방은 얼마나 더러울지,0
5,계란 식감 진짜 너무 좋아요 폭신폭신♡,1
5,,1
4,"맛 괜춘. 근데, 그 계란 보슬보슬 그 식감 싫어하는 사람도 있을듯.",1
2,,0
1,여기 주방 바닥 음식찌거기로 엉망입니다.,0
1,응 1점,0
3,가성비 괜찮네요,0
4,I can taste the rich taste of kimbap.,1
4,김밥은 맛있고 좀 독특한? 확실히 김밥 전문점에서 파는 신메뉴들이 있어요. 그리고 양이나 크기 모두 큽니다.,1
1,연어 파스타를 주문했는데 맛은 하나도 없었고 파스타는 단단한 고무임.... 이런 파스타는 인생 처음 먹어봄. 연어에는 전혀 양념하지 않았고 몇 번 씹고 나면 맛이 사라짐... 오래 씹은 껌처럼... 아마 연어의 품질이 좋지 않기 때문일 것. 피자는 딱딱하고 맛없음. 둘 다 집에서 내가 더 잘 만들 수 있는.... 어떻게 이러게  못 만들지 하는 호기심 신기...,0
5,맛있당,1
5,"일행의 생일날 간건데,  직원분들도 친절하시고 음식도 맛있어서  저와 일행들 모두 만족스러워 했어요  ",1
5,가격도 저렴한데 퀄리티도 괜찮아서  가성비가 뛰어난 파스타집,1
5,,1
5,,1
4,강남에서 가볍게 점심 이나 브런치 먹기 좋아요. 커피 1000 원 이벤트 때문에 갑니다. ㅎㅎ,1
2,맛집은 아님 그냥 먹을만한 정도,0
3,,0
3,스테이크 맛있네여 직원들도 친절하구요!,0
3,,0
5,맛있고 친절. 피자랑 샐러드 먹었음. 직원들 교육이 아주 잘 된 인상. 조명이 좀 어둡고 자연광이 안 들어옴.,1
5,소개팅하기 좋아요 넓고 사람도 많이 없습니당~!+합리적인 가격대에용,1
5,,1
2,가격은 강남치고 별로 안비싼데 너무... 맛이 없어요...,0
2,직원은 친절한데 맛이 조금 많이 아쉽네요,0
4,,1
3,,0
4,걍 무난하게 가기 괜찮습니다.. 소문난 잔치에 먹을 거 없다는데 여긴 그래도 강남에서는 맛집이라 할 수 있으거 같아요,1
5,"맛도 좋구, 매니저님이 정말 잘해주시네요 다녀와서 서비스에 완전 반했습니다~",1
4,"맛있긴 한데, 양이 조금 적어요ㅠㅠ 치즈 샐러드는 진짜 강추",1
4,존맛탱,1
4,리코타치즈와 구운 버섯들이 맛있습니다.,1
4,"크림파스타와 안창스테이크, 필라프가 맛있다. 근데 날마다 고기의 컨디션이 다른듯하다 어쩔때는 질기고 어쩔때는 부드럽다. 자주간다",1
5,맛있었어요ㅎㅎ,1
5,맛있고 깔끔해요 ^^ 사람 엄청 많아요,1
5,괜찮게 잘 먹고왔습니당~~,1
2,음… 가격 대비 너무 별로………  웨이팅한 시간 너무 아깝… 돈 너무 아깝… ,0
5,,1
5,스시 종류도 많고 맛있어요!,1
5,,1
5,스시 종류도 많고 신선하고 맛있어요. 한 번 갈 때 신나게 먹고 옵니다.^^,1
5,"넓고 쾌적해서 좋아요 직원분들 친절하시구! 파튀김연어 쫀맛,, 청어는 조금 비렸음 ㅠㅠ 처음 가봤는데 다음에 또 가고싶어요 줄만 안선다면,,",1
5,"여기에서는 다른 평범한 횟집보단 회들을 좀 더 업그레이드 된 버전으로 맛볼 수 있었고 물론 그만큼 가격이 값싸진 않았습니다. 하지만 저는 회를 사랑하는 사람으로선 정말 만족스러웠습니다. 저는 참치 5종, 붉은생새우, 연어뱃살, 와규타타키, 간장새우, 찐 전복, 타코와사비군함을 먹었던 걸로 기억하는데 참치 5종, 연어뱃살은 꼭 드셔보시길 바랍니다.  와규타타...",1
5,무지 맛있어요 ! 제가 먹은 것 중에 계란말이 초밥이 특히나 맛있었어요 가격도 저렴한 편이고 분위기도 좋고 사람 많아서 회전 빨라 초밥도 신선한 것 같고 앞으로 자주 갈 듯요 ㅋㅋ,1
5,맛집은 맛집이네요. 웨이팅해서 먹을만큼 맛있어요.,1
2,,0
5,일부러 웨이팅 피하려고 3시에 갔는데도 비엄청오는 날인데도 웨이팅 했네요 40분 정도??  너무 맛있어요. 가격도 나쁘지 않은 것 같아요,1
4,낫배드 갓덴,1
5,여기가 최고입니다  이랏샤이맛세,1
5,강남점이 유난히 맛있는거같긴하네요. 가격대는 좀 나가지만 강남인거치면 감수할만합니다,1
5,,1
5,"갓덴스시 여러 지점을 가봤지만  강남점이 최고인것 같습니다!!  점심 저녁으로 웨이팅이 항상 있을 정도로 인기가 많은게 단점이지만,  그만큼 회전율이 빨라 신선한 초밥들이 나온다는게 장점입니다!!   회전초밥집들 중에 올라온 초밥들이 말라있는 곳도 상당히 많으니까요.  특히 새우 초밥들이 굉장히 퀄리티가 좋았습니다  단, 양념게장군함은 비추천합니다~~ 새우...",1
5,사이드메뉴도 초밥도 맛있어요 ,1
3,9시30분까지로 영업시간 줄었음  9시까지 못들어가먄 못가는거,0
2,너무 정신이 산만해서 아쉬워요,0
5,녹는다 녹아,1
5,생선도 싱싱하고 종류도 다양합니다,1
3,,0
5,그냥 최고 갓덴은 믿고 먹어요 굳굳,1
5,여러 지점 가봤는데 역삼이 젤 좋아요  ,1
4,너무 유명한곳 드뎌와봄 이뻐요,1
4,처음 와봤는데 분위기 좋고 커피맛도 좋아요 ^^,1
4,몇 년 전 일본에서 가본 뒤로 처음 가봄. 플로트 먹었는데 아이스크림 진짜 맛있고 라떼도 깔끔해서 좋았음. 와플은 그냥 무난?..디저트 말고 커피 마시러 간 거라 별 생각없었지만 다시 사먹진 않을 듯.,1
5,대부분 친절하고 맛나요 :) ,1
4,괜찮았어요~ 분위기 좋아용,1
3,다른매장 블보느낌 덜남 ㅠㅡㅠ 그냥 직장인들의 비싼 커피집 뚜껑을 안줘서 삼실 로비에 쏟아뚬 ㅠㅠㅠ ,0
1,,0
2,커피 양 머선129  ,0
3,음..... 이름에 비해 생각보다 서비스가 ~~~ 그냥 그렇습니다!,0
3,,0
2,모카팟 굵기로 분쇄 부탁드렸는데 너무 곱게 갈아주셔서 가루와 같이 식음중입니다. 핸드드립용으로 부탁드린건 선물로 드렸는데 어찌 갈렸을지 걱정이네요. ,0
2,아니 역삼 매장도 그렇고 성수 매장도 그렇고 왜 다 전화를 안 받으시는지... 몇 번을 해도 연결이 안 되네요.. 이럴 거면 번호는 왜 있는 건지 참,0
5,휴일 아침시간에 갔는데 직원분 너무나 친절하시고 처음 갔다고 하니 메뉴 설명도 잘 해주셨어요. 덕분에 좋은 기억 남기고 왔습니다.,1
2,,0
2,맛 진짜 그냥 저냥 별로 아이스라떼에 6100원 맛은 그냥 ,0
4,I'd love to.,1
2,브랜드 값을 못하는건가 내 입맛이 별로인건가 상당히 의문이다,0
4,,1
1,물장사 덤탱이,0
3,,0
1,블루보틀..커피 진짜 맛있는건 알겠는데ㅠㅠ가격이 사악함..삼청에서 방문했을때는 그래도 그만한 가치를 한다 생각했는데 여긴 전혀 아니예요..직원들 불친절하고 매장 위생 관리 전혀 안해요;;,0
1,"텀블러 구매하면서 계산 전 흠집이 눈에 보이면 말해달라길래, 찜찜한 자국이 있어서 바꿔달랬더니 갸우뚱하는 제스처는 기본적인 예의가 없는 것 아닐까? 아무리 자유분방한 분위기의 블루보틀이라지만 점원이 팔짱을 끼고 있는다던지... 여러모로 서비스 교육이 시급해보인다;",0
2,브랜딩의 좋은 예. ,0
5,"맛도 있고, 직원들이 정말 친절하고 서비스 최고예요^^",1
1,"- 음식: 값싼 냉동 대창을 쓰는 것 같습니다. 매우 질기고, 냄새가 심한데 제대로 익지도 않아서, 씹지못할 정도였습니다. 제가 치아도 비위도 좋고, 음식을 웬만하면 안남기는데요, 이건 못먹었습니다;; 혹시 다시 익혀줄 수 없는지 여쭤봤더니 어렵다는데 좀 황당했습니다.   - 서비스: 기본적으로 다른곳에서 제공되는 살사나 할라피뇨는 말하지 않는 이상 제공되...",0
4,,1
5,퀘사디아도 맛있고 다맛있네요,1
3,"맛은 있는데, 사회적 거리두기 저녁 기준 2+@(2차 접종 후 2주 경과)인데 미리 3명 온다고 말한 후 2명 이상 2차 맞은 거 인증하라고 하는 거  잘못 안내한 건 좀 그랬음.   원래 3인이면 1명만 인증하면 되는 건데 본인들 기준이 맞다고 2명 보여달라고 하는 데서 아직 수칙 기준 숙지가 안 된 것 같아 보였음.",0
3,맛은 좋았습니다. 다만 손님에게 식사 전 고기 섭취 시 뼈가 있을 수 있으니 유의해달라는 안내가 필요해보입니다. 내부에서 해당 부분에 대해 인지를 하고 있음에도 사전 안내를 하지 않는 것은 문제가 있다고 생각됩니다. 크게 다치지 않았다고해서 문제가 없었던 것은 아닙니다.. ,0
3,"다닌지 4년이 넘었고, 오래 다닌 만큼 맛은 무난하다. 맛도 4년전이랑 똑같으나 크게 눈이 똥그래지는 맛은 아니다. 그런데 가게 안이 너무 시끄럽다.",0
2,,0
2,,0
4,파히타,1
4,,1
4,대기한 시간 만큼 맛있게 먹었어요. 근데 가게 환기가 막 잘 되는 편이 아닌지 눈이 너무 매웠습니다. 그래도 또 가고 싶어지네요 ^^,1
2,너무 질겨요 취향아님..,0
3,,0
5,소울푸드 ㅠ 생크림 흑맥주에 대창파히타 너무 좋아요,1
4,까르니타스타코는 맛있었고 타코쉘샐러드랑 치킨부리또는 별로였다.,1
5,친구랑 생각나면 항상가는곳,1
2,맛은 좀 애매함. ,0
4,,1
4,맛있으나 시끄러워서 대화하긴 안좋은곳,1
1,시끄러워서 귀가 너무 아픔..;;,0
4,강남역 물가 생각하면 가성비 좋은 편. 할라피뇨 즐어간 메뉴는 먹을땐 맛있는데 다음날 아침에 좀 괴로움. ,1
5,,1
3,스테이크 부리또 best 적혀있길래 먹어봄. 양은 적당. 맛은 달달한 편. 정통 미국식 부리또 맛은 아님. 사이드로 주는 살사가 맛있음. 티비에 나왔다길래 기대하고 갔는데 그렇게까지 맛있진 않았음. 그냥 평범하고 무난함. 고기가 좀 질겨서 아쉬웠음,0
5,푸짐하게 잘 먹고 갔어요!,1
5,,1
2,아...  저는 금요일 저녁에 갔는데 사람이 너무 많아서 서비스 질이 너무 떨어짐... 거의 기사식당 같은 분위기... 차라리 동네 참치집이 훨남,0
4,ㄴ,1
1,"아.. 리뷰 보고 갈걸..ㅎㅎ.. 진짜 너무 비위생적이에요... 혼밥하면 무조건 바테이블에 앉히는데, 브레이크타임 폐지했다고 써놓고 들어가니 회덮밥 밖에 안된다고... 그래서 알겠다고 회덮밥 달라고 했는데 정말 음식이 10초만에 나오네요..ㅎㅎ 옆 손님들도 혼밥인데 다들 10초안에 나오더라고요 회덮밥만 미리 몇 개씩 쌓아놓고 미리 주시는거 같아요..ㅎㅎ 그...",0
1,"브레이크 타임이 15:30 까지라고 해서 왔더니 16:30 이라고 말이 바뀌시네요. 저희 말고 두 팀이나 이래서, 도대체 무슨 생각이신지 모르겠어요.",0
1,엄청 불친절해요. 접대 받아서 가서 네이버 영수증 리뷰는 못 하지만 카카오 리뷰남김니다. 다시는 가고 싶지 않네요. 혹시 누군가 태클 거시면 먹고싶진 않지만 내돈내산 하구서 다시 남겨드릴께요.  웩,0
1,1. 점심에 평소 먹던 회덮밥 한 그릇 주문 2. 비주얼이 녹색 채소가 없어서 이상함을 느낌 3. 녹색채소(상추 및 무순) 안들어가는지 물어봄 4. 그제서야 상추가 없다고 함  주문 받을때 말을 해주던가 아니면 애초에 점심 메뉴에 제외시켜야 하는거 아닌가요? 시키고 나서 이상함을 느껴야 그제서야 말해주는건 모를거라고 생각하고 판매하는 건가요? 평소보다 양도...,0
5,오 정말 맛있다. 스시 생각나면 여기는 적어도 한 번은 꼭 먹으러 올 것 같다,1
5,서빙해주시는분들 친절해요,1
1,"점심에 낱개주문하러 가서 약 1.2-1.4만정도(피스로5-6개) 주문함 근데 낱개는 10피스 이상주문해야한다고함. 세트메뉴 일반12피스 1.2만보다 더되는가격을 주문해도 10피스를 맞춰야한다니, 그럼 개인당 점심에 약2~3만원을 쓰라는건가?ㅎㅎ 어이없는 갯수정책에 웃고갑니다",0
3,맛있는데 서빙하시는분들이 조금아쉽네요. 친절하셨으면 좋겠어요.음식나오는데도 오래걸렸어요ㅠㅠ,0
4,,1
5,굿굿 만족스러워요 ㅎㅎ ,1
1,거의 3년 4년 동안 강남역에서 스시 먹을 일 있으면 왔었는데 여기도 이제 못올거 같네요 참치스시 힘줄? 질긴거 있어서 씹다가 뱉었고 테이블에 스시 내려놓을때 부터 비린내가 살짝 났는데 장어초밥에서 나는 거였네요. 서빙하시는 분은 늘 바쁘시구요 ㅎㅎ그래도 맛있어서 왔었는데 이제 여기도 안녕이구나..,0
3,맛있는데 손님이 너무 많아서 그런지 벨을 아무리 눌러도 사람이 안오네요 ㅜㅜㅜ,0
5,맛있쩡~,1
4,각종 밑반찬등 훌륭한 맛과 좋은 분위기에서 식사할수 있었습니다^^ ,1
5,"실장님이 연어,광어 서비스주셨어요 맛있어  ",1
3,,0
5,,1
5,"손님 접대로 10월16일 55,000원짜리 메뉴 시켜서  2명이서 복분자곁들여서  참치시식  처음  사진과 두번째리필 사진  세번째 리필 나올때 처음보다 리필나올때가 더맛있는부분이  나왔슴  동해시에 이정도 나오는 점포없어서  아쉬웠어요 다음출장에도 이용할생각입니다",1
5,강남 최고 가성비라고 생각함!,1
2,이춘복매니아인데 강남점  첨가봤는데 양도 적게주고 리필도 제대로 잘 안해줌 그리고 닷지에서 먹는데 계속 전기파리채로 날파리잡음 최소 20마리이상 밥먹는데 계속 따닥 따닥 따닥 따닥 따닥 ㅋㅋㅋㅋㅋㅋㅋㅋ 신논현이 나은듯 근데 신논현은 비싼거 시키라고 눈치주는것도 아니고 대놓고 말함 ㅋㅋㅋㅋㅋ 새로생긴 광교나 가봐야겠다ㅠㅠ,0
3,,0
5,가성비 좋네요,1
2,육회비빔밥은 맛있었는데 저녁에 참치 무한리필 먹으러 갈 때마다 냉동이라 서걱서걱 식감도 별로고 맛도 별로였어요,0
1,진심으로 돈 아까웠던곳 양도 너무 적고 중간맛은 밍밍 볶음밥 시키고 나서 거의 다 남겼습니다 고추장에 설탕 왕창 부은맛이구요 진짜로 리뷰 거의 안쓰는데 너무 한거같습니다….,0
5,사장님들 친절한 서비스 감사합니다!,1
2,맛있는지 모르겠다 너무 달고 짜고 좀 맛에대한 퀄리티가 많이 떨어짐 그냥 치즈넣어서 사진으로만 이쁘게 찍히는 닭갈비임 양도 적다 3인분 시켰는데 딱봐도 그냥 2인분 준거같음 사리 많이 시켰는데 그만큼 고기가 줄어듬 ㅋㅋ 직원들도 분주하고 산만함 일은 안하고 농땡이피고 음악소리에 춤추고 지들끼리 장난치고 손님들 밥먹는데 무례함,0
3,맛있는지는 모르겠어요. 후각 좋은 사람들은 닭 잡내 맡을 수 있어요. 특별히 반찬도 없고 아무것도 없고 닭갈비만 나오는데 양이 많은것도 아니예요. 근데 가격은 일반 닭갈비집에 비해 비쌈.,0
3,치즈 플레이팅?이 예쁘게 돼서 유명한 것 같은데 맛은 아무 닭갈비집이랑 차이는 없다. 가격만 좀 더 높을 뿐.,0
2,"비주얼에 비해 맛은? 음...  1. 드럼스틱살, 양배추, 떡, 조미료 가득한 양념으로만 맛을 내서그런지 3개 정도 먹다보면 질림.  2. 당면이 다 불어서 나옴. 어제 만들어놓은 음식 먹는 느낌.  3. 오랜만에 닭이다싶어 젓가락으로 집으면 양배추임.  4. 중간맛은 안 매운맛임.   총평) 마늘, 양파 등을 추가하여 재료를 조금 더 풍성하게 할 필요가 ...",0
5,저번에 맛있어서 또 방문했는데 역시나 맛있어요!!! 이러다 단골될듯ㅋㅋ,1
5,깔끔하고 맛있어요 !! 볶음밥도 원래 닭갈비 양념이랑 맛이 분리되는데 이곳은 그렇지 않아 정말 좋았어요 ㅎㅎ 직원분들도 친절하시네요 !!! 왕추천입니다,1
5,우선 닭갈비 솔직히 맛있음 양념이 자극적이지 않고 중독성 있음 직원들 친절함 아래 리뷰들 이해가 안감 가게가 바뀐건지 내가 알수없지만 참고로 난 만족한곳들만 리뷰함 ,1
5,너무 맛있습니다 !!  한끼 식사로 좋네요 ㅎㅎ,1
1,사리를 추가하면 그만큼 고기가 없어짐 ㅋㅋㅋ 강남역에 닭갈비집이 없어서 장사가 잘되는듯,0
2,"블로그에 또 속았네요...ㅜㅜ  맛은평범. 4인분 중 닭고기양은 엄청 조금이고, 직원들중 캐셔보시는 분 완전 불친절. ",0
5,완죤맛집~~~,1
1,맛이…,0
1,먹고 하루지난 뒤인 지금도 계속 배아파요ㅠㅠㅠ 혹시나하고 들어와봤더니 다른분들도 그러시네요,0
3,이정도면 맛있다고 할수 있는것 같습니다.  가면 또 가겠지만 일부러 먹으러 찾아갈까 싶기도 한 적당한 집. 당면넣어주는게 좋았어요ㅎ,0
5,매번 좋은 사람들 만날때 방문하는데 매번 맛이 좋네요. ,1
5,학원끝나고 일주일에 두세번은 가는 듯 ㅎㅋㅋㅋ 장인닭갈비 너무 맛있어요!,1
5,매운 닭갈비에 치즈추가하면 남부러울게 없지,1
5,뉴발란스 건물 뒤편에 바로 보였어요 맛있게 잘 먹고 갑니당,1
5,매장 깔끔하고 항상 사람 많지만 맛있어요 !,1
5,위치가 좋아서 자주 찾아가서 먹어요 닭갈비 맛있어요,1
5,치즈추가해서 먹었는데 완전 맛있어요 ㅠㅠㅠㅠ 직원분들도 친절해서 좋아요,1
1,위생 최악.. 가게 내부 곳곳에 벌레끈끈이 있는데 초파리가 징그럽게 많이 붙어있어요 자리앉자마자 바로 보여서 먹기전부터 계속 생각나고 (대체 왜 손님 테이블 바로 옆에 보이도록 둔 거지? 싶음;;;) 음식위에 올라간 검은깨가 다 초파리처럼 보이고 먹는 내내 초파리가 주위에서 계속 날라다녀요 화장실은 말할것도 없이 너무 더러워요 닭갈비 좋아해서 볶음밥까지 먹...,0
