인기도 순위,동영상 제목,동영상 링크,정보,업로드날짜,맛집,정보제공
11,50분의 기다림이 아깝지않은 한우 소고기집의 비밀,https://www.youtube.com/watch?v=thtnxyDkCQ4,"[부산 대연동 우두머리]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

소고기집의 미덕은
줏어먹을 것이 얼마나 많냐에 달려있다
공깃밥이 가득이라면 더할나위 없다 


ㅁ 한우모둠 (430g) 95000원, 한우양념불고기 (130g) 23000원

ㅁ 4pm ~ 12am
ㅁ 일요일 휴무
ㅁ 부산 남구 유엔평화로 37 (대연동 889-7)
ㅁ 금빛코다리 왼쪽 주차장 1시간 지원",2020. 11. 16.,부산 대연동 우두머리,츄릅켠
12,여기 가보라는 말 5만번 들었습니다. 츄릅로드,https://www.youtube.com/watch?v=8DJUQUCjKbE,"[부산 대연동 김유순대구뽈찜]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

양념은 저와 함께 갑시다
나머지는 수고하셨습니다
왠지 오랜 숙제를 끝낸 느낌
메리 크리스마스 되세요 ☆

◎ 뽈찜 중짜 33000원, 소짜 25000원, 대짜 4만

◎ 11:30am - 10pm 
◎ 휴무 
◎ 부산 남구 못골로 79-10 (대연동 1365-1)
◎ 마트주차장, 대연탕주차장(여기 추천) 1시간 무료",2019. 12. 24.,부산 대연동 김유순대구뽈찜,츄릅켠
13,켠영만의 백반기행. 뼈다귀해장국 역사상 이런 반찬은 없었다. 영도 츄릅로드 (feat. 블랙이글스 에어쇼) (Korean food / Pork Rib Hangover Soup),https://www.youtube.com/watch?v=1N0ACKq5qM4,"[부산 영도 영도뼈다귀해장국]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

집 주변에 있었으면 단골각
뜨끈한 국밥매직으로 해피엔딩
블랙이글스 에어쇼 은근 잼잼

◎ 뼈다귀감자탕 6천원 (카드가능)

◎ 24시간영업 
◎ 무휴 
◎ 부산 영도구 절영로14번길 17 (대교동1가 182-1)
◎ 네이버지도에선 ""영도해장국"" 으로 검색 (주소확인)
◎ 주차 가게앞 한대 가능 (봉래주차장은 유료)",2019. 11. 28.,부산 영도 영도뼈다귀해장국,츄릅켠
14,부산의 3대 돈까스라 카더라. 츄릅로드,https://www.youtube.com/watch?v=aZOAeCB8FEw,"[부산 초량 천백돈까스]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

고려사항들을 클리어 한다면
매우 달콤한 추억의 맛이 몽실몽실
쫄면은 안 바쁠 때 다시 먹어봐야할듯
현금으로 하면 가성비 든든하이~

여러분들의 부산 3대 경양식 돈까스집은?

태봉이 싸릉훼♡ 장가 가자 


ㅁ 돈까스 6500원, 쫄면 5천원 (현금시 500원 할인) 

ㅁ 10am ~ 8pm (재료소진시 마감)
ㅁ 첫째 셋째 일요일 휴무 (부정기 휴무)
ㅁ 부산 동구 초량상로 124-1 (초량3동 100-8)
ㅁ 주차안됨",2020. 6. 19.,부산 초량 천백돈까스,츄릅켠
15,해운대 줄서는 텐동집 (feat. 해운대라떼) 츄릅로드,https://www.youtube.com/watch?v=MyjthPnlTx4,"[부산 해운대 타이가 텐푸라]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

저 고기튀김 소고기였나?
계란밥 vs 튀김밥
텐동 경험치가 +2 올랐습니다


ㅁ 타이가텐동 9천원, 아나고텐동 14500원

ㅁ 11:30am ~ 2pm / 5pm ~ 8pm
ㅁ 월요일 정기휴무 
ㅁ 부산 해운대구 중동1로 41-1 (중동 1394-328)
ㅁ 맞은편 골목 해운주차장 주차지원",2020. 7. 20.,부산 해운대 타이가 텐푸라,츄릅켠
16,부산에서 줄선다는 텐동집. 망미동 코카모메. 츄릅로드,https://www.youtube.com/watch?v=kvZ65FgeSJg,"[부산 망미동 코카모메]

온천계란밥 맛있. 골목조용. 

11:30am - 8:30pm
(브레이크 타임 3-",2019. 7. 18.,부산 망미동 코카모메,츄릅켠
17,"짜장면 22000원, 짬뽕 27000원? 해운대 그랜드조선부산 팔레드신 태교여행 (feat. 뷔페 조식, 룸컨디션, 수영장)",https://www.youtube.com/watch?v=n7udaiDnxa8,"[해운대 그랜드조선 부산 팔레드신]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

이 집에 다시 가야할 이유는 소흥주 칠리새우
딤섬도 괜찮았는데 단품메뉴에 안 보이던걸
짜장은 진하고 깊은맛, 짬뽕은 돈값 하더이다

오품냉채, 산라탕은 취향이 아니었지만
오프닝 그랜드 스페셜 디너 코스가 사라진 게 못내 아쉽

ㅁ 오프닝 그랜드 스페셜 디너코스 (11월 8일 이후 단종됨) 1인 85000원
ㅁ 단품 짜장 22000원, 짬뽕 27000원, 탕수육 7만원, 소흥주 칠리새우 5만원

ㅁ 11am ~ 10pm (저녁 마지막 예약은 7시 반)
     북경오리는 7시까지는 시켜야된다고 함
ㅁ 무휴   ㅁ 주차는 건물 주차장 
ㅁ 부산 해운대구 중동 그랜드조선 부산 5층 ",2020. 11. 25.,해운대 그랜드조선 부산 팔레드신,츄릅켠
18,해운대서 20년 살아도 몰랐던 삼겹살집. 안동상회. 반찬들이.. 츄릅로드 (Haeundae / KoreanBBQ / Samgyeopsal),https://www.youtube.com/watch?v=46byw45Yz4I,"[부산 해운대 안동상회]

안바꾼 간판, 반찬 찌개 나이스
특히 묵은지. 고기는 거들뿐

3pm - 11pm (전화시 조율가능)
월요일 휴무 (예약시 식사가능)
051-743-7242
부산시 해운대구 해운대로 649 옆
(우동 564-11) 아이마트 옆 / 주차불가",2019. 8. 13.,부산 해운대 안동상회,츄릅켠
19,켠영만의 백반기행. 36년 꼬리수육 노포 츄릅로드 (Oxtail soup),https://www.youtube.com/watch?v=Y5NH5R0_d14,"[부산 수안동 꼬리집]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

36년 짬에서 나오는 바이브
달백 깔끔 고소의 향연
구운소금과 신김치 하드캐리

◎ 꼬리수육 대짜 5만원 / 소짜 4만원 / 꼬리곰탕 13000원 (특 16000원)
◎ 수육은 도가니랑 반반도 가능

◎ 11am -9pm 
◎ 넷째주 일요일 휴무
◎ 부산 동래구 명륜로 98번길 16 (수안동 565-2)
◎ 자체주차장은 좁고 험난, 기장주차장은 추가금액 나올 수 있음",2019. 12. 8.,부산 수안동 꼬리집,츄릅켠
20,딱 한가지 메뉴로 줄서는 소고기집 (feat. 된장밥),https://www.youtube.com/watch?v=BjBAyhXspl8,"[부산 중구 중앙동 돌쇠장작구이]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

퇴근 후에 한잔 털며 속마음도 털어놓는 고기술집
떡밥은 거 너무 심한거 아니오
맛있는 동네 중앙동 쥬아 

* 본 영상은 부산 거리두기 2단계 상향조정 이전에 촬영한 영상입니다


ㅁ 깍두기(소안창살) 미국산 100g 9천원 (3인분 기본)
ㅁ 된장찌개 3천원 공기밥 별도 천원

ㅁ 5:30pm ~ 11pm (마지막 주문 10pm)
ㅁ 일요일 휴무
ㅁ 부산 중구 중앙대로 45-21 (중앙동5가 1-12)",2020. 12. 14.,부산 중구 중앙동 돌쇠장작구이,츄릅켠
21,부산 대게와 랍스터 싯가에 정면돌파 해본다 (feat. 채플린),https://www.youtube.com/watch?v=19opkFEdXq0,"[부산시 기장군 대게만찬]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

좋은 가격에 먹은 건지 도무지 알 수가 없는 싯가알못
대게 껍질이 말랑 말랑
랍스터는 너무 많이 쪄진 느낌 살짝 있었음

게딱지밥이 없으니 뭔가 섭섭
시설과 뷰, 깔끔함때문에 좋은 날 무난히
찾아가보겠지만 지정 자리 예약이 안된다면 쓰읍 


ㅁ 2020년 9월 12일 여름 기준 (행사중이라함)
    대게 kg당 5만원, 랍스터 kg당 8만원

ㅁ 총 121000원
    + 상차림비 인당 5천원 
    + 식사 인당 5천원 (2인이상 매운탕 나옴)
    = 이날 총 141000원에 음료수값 2천원

ㅁ 11am~9:30pm (라스트오더 ",2020. 9. 21.,부산시 기장군 대게만찬,츄릅켠
22,부산 근교로 여행 갔다가 대물을 만났습니다,https://www.youtube.com/watch?v=_-RDQpQCl4A,"[경남 통영 생선구이]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

생선 간이 왜 안되어있을까
되찾은 예약자리
여행이니까 가능한 FLEX

카페녘 & 드레피인펜션


ㅁ 생선구이 1인 2만원 (최소 2인 이상)

ㅁ 11am ~ 9pm
ㅁ 무휴
ㅁ 경남 통영시 용남면 동달안길 84 (화삼리 945-23)
ㅁ 주차장 있지만 혼란스러움",2020. 7. 27.,경남 통영 생선구이,츄릅켠
23,해운대 돼지갈비집에서 큰소리 내버렸습니다. 츄릅로드,https://www.youtube.com/watch?v=A1UjtUvcjIU,"[부산 해운대 중동 가마솥 돼지갈비]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

고기보담도 식사가 야무진 돼갈집
초벌의 명과 암 
친한 친구를 소개팅에 내보내는 심정이랄까

◎ 돼지갈비 1인분 (200g) 12000원,
◎ 식사 2천원, 열무국수 3천원

◎ 11am - 10pm
◎ 월요일 휴무
◎ 부산 해운대구 좌동로14번길 60 (중동 275-1)
◎ 가게 앞 주차 2대 가능",2020. 3. 12.,부산 해운대 중동 가마솥 돼지갈비,츄릅켠
24,이케아 동부산점 레스토랑 다 뿌시기 & 꿀팁. 츄릅로드,https://www.youtube.com/watch?v=mkz5F81oOUM,"[부산 이케아 동부산점]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

레스토랑도 IKEA 가구쇼핑이랑 존똑
싸다 해서 가보면 +$$
특별한 맛보단 카트에 담는 맛
핫도그랑 소프트콘이 ☆

일생에 다시 올까싶은 모자이크 지옥  


◎ 돈까스 6900원, 햄김치볶음밥 3900원, 절인연어 6900원
◎ 크루와상 1900원, 베리치즈 4900원, 초콜릿케이크 1900원

◎ 레스토랑 영업시간 9:30am - 9:30pm (매장은 10am-10pm)
◎ 현재 무휴  ◎ 주차 가능
◎ 부산시 기장군 기장읍 동부산관광3로 17 (당사리 52-2)
◎ ",2020. 2. 16.,부산 이케아 동부산점,츄릅켠
25,볶음밥 미쳤따리. 건물올린 22년 해물탕집 (feat. 딱새우 꿀팁),https://www.youtube.com/watch?v=kdjPspFYXtk,"[부산 연제구 연산동 연산낙지해물탕]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

낙지는 중짜부터 들어가요
육수 추가는 안되니까 사리 시킬땐 조심
바삭바삭 볶음밥 마무리까지 완-벽

감당이 안되더라도 해물탕은 좋은갑당


ㅁ 해물탕 소(2인) 4만원, 중(3인) 5만원, 대(4인) 6만원, 특 7만5천원
ㅁ 사리(우동,라면,당면) 천원, 볶음밥 2천원(추가 주문 안됨)

ㅁ ",2021. 3. 31.,부산 연제구 연산동 연산낙지해물탕,츄릅켠
26,부산 찹쌀순대의 끝판왕 두둥등장 (feat. 37년 호떡집),https://www.youtube.com/watch?v=s3Hqo9GIVEA,"[부산 연산동 연동시장 소문난순대]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

확연한 차이가 있는 보드라운 순대
차안에서 바로 드시길 추천
생양파가 없다니 이럴수가
간 맛이 완전 다르구만

최고집호떡은 식혜 꾸루맛


ㅁ 순대 5천원치 자른거, 5천원치 안자른거 (생양파 없음)

ㅁ 10:30am ~ 순대 소진시까지
ㅁ 일요일 휴무
ㅁ 부산 연제구 연동로8번길 28-1 (연산동 312-47)
ㅁ 주차장없음",2021. 1. 6.,부산 연산동 연동시장 소문난순대,츄릅켠
27,러시아 슈퍼요트A의 주인이 부산에서 찾은 한식집. 초읍 츄릅로드 (Korean food / Busan / Han-jeongsik),https://www.youtube.com/watch?v=Ey0kQrmsDAY,"[부산 초읍동 나탄 약선요리]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

성공적인 기념일
계란찜 또 먹고싶다
다이아몬드 수저가 기억할 부산의 맛

◎ 영상 속 코스 4만원 탄 정식 (찜닭 대신 깨소스 비빔면)
◎ 2만원 (평일에만 주문가능), 3만원, 6만원 코스 등이 있음

◎ 12-3pm / 5-10pm (30분 전 주문마감)
◎ 부정기 휴무 (전화로 확인 051-504-7733)
◎ 부산 부산진구 성지곡로51번길 4 (초읍동 331-46)
◎ 신지주차장 주차 가능",2019. 11. 5.,부산 초읍동 나탄 약선요리,츄릅켠
28,짜파게티를 가장 맛있게 먹는 법. 부산 중앙동 일신슈퍼 츄릅로드 (Busan / Tteokbokki / Kimchijeon / Jjapagetti),https://www.youtube.com/watch?v=XhiU-F61lug,"[부산 중앙동 일신슈퍼]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

오늘은 네가 짜파게티 요리사
일부러도 못 만드는 인테리어 속에서 모닝술 가능
달력 빌런

▣ 라면 3천원, 떡볶이4개 2천원, 계란후라이3개 2천원
▣ 김치전 2천원, 햄치즈토스트 2천원

▣ 6:30am - 8:30pm 
▣ 토요일 일요일 공휴일 빨간날은 다 휴무
▣ 부산 중구 중앙대로 116번길 12 (중앙동4가 85-1)
▣ 주차안됨 (주변 유료주차)",2019. 9. 26.,부산 중앙동 일신슈퍼,츄릅켠
29,부산엔 된장찌개가 없다?! 30년 넘은 단일메뉴 돼지고기집 (feat. 실버버튼 개봉기),https://www.youtube.com/watch?v=QwPUrpNagt0,"[명장동 명동돼지숯불갈비]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

갈비 없는 갈비집
여러가지 사항들을 충분히 고려하실 집
얇은 돼갈에 오징어젓갈, 시락국이면 한그릇 뚝딱이제


ㅁ 돼지양념 1인분 (200g) 7천원, 시락국 포함 공기밥 천원

ㅁ 12pm ~ 9pm
ㅁ 부정기 휴무
ㅁ 부산 동래구 명장로20번길 19 (명장동 60-23)
ㅁ 주차장 따로 없음",2020. 12. 2.,명장동 명동돼지숯불갈비,츄릅켠
30,"어버이날과 결혼기념일, 여친 생일을 앞두고 있는 당신에게. 츄릅로드",https://www.youtube.com/watch?v=52kVWgaKUZI,"[부산 송정 구로마쯔]
★ 영업시간 및 주소 추가정보는 여기서 확인하세요 ★

추가메뉴가 있는데 왜 시키질 못하니
파라다이스를 갈 것이냐 디너를 갈 것이냐
바다뷰가 필요했던 날
소임을 다해준 고마운 런치

더 행복하게 해줄게 고마워 ♡


◎ 오픈 할인 특가 런치 28000원 (정상가 35000원)
◎ 디너 A코스 95000원 B코스 75000원 (식사 모두 예약제)

◎ 런치는 ",2020. 5. 7.,부산 송정 구로마쯔,츄릅켠
1,미슐랭 2스타 정식당에 다녀왔습니다 - michelin guide seoul,https://www.youtube.com/watch?v=XDCKmtEAjNo,"* Email : dudely610@gmail.com

-----------------------------------------

한식 파인다이닝 정식당을 다녀왔습니다. 

정식당은 임정식 셰프님이 운영을 하시는데 오픈은 2009년에 했습니다. 
2017년에 미슐랭이 서울에 들어오고 나서는 1스타를 받았었고
그 뒤부터는 2스타를 계속 받고 있는 곳이에요. 
뉴욕에도 지점이 있는데 거기도 미슐랭 별입니다

미슐랭이 절대적인 기준이 될 수는 없지만
참고하기에는 나쁘지 않은 것 같긴 합니다. 

여기는 갈만한 곳인 것 같네요. 

분위기도 좋고 음식들도 좋고

저는 런치로 다녀왔는데
4코스 78,000원
5코스 98,000원 
시그니처 메뉴는 185,000원 

김밥추가는 1줄에 16,000원 입니다.

-----------------------------------------",2020. 3. 23.,정식당,더들리
2,호텔 1박하면 무제한 음식을 4번 주는 신라호텔 사육 호캉스 - 이그제큐티브 숙박을 하고 왔습니다,https://www.youtube.com/watch?v=lmcRXlkhiUc,"* Email : dudely610@gmail.com

-----------------------------------------

장충동에 있는 서울 신라호텔에 다녀왔습니다. 
10만 이벤트 정답 영상이기도 하네요. 

이그제큐티브 라운지 혜택이 
포함 되어있는 패키지로 다녀왔어요. 
1박 숙박을 하는 동안 4번의 식사가 
포함이 되어 있어서 살이 안 찌기가 쉽지 않습니다. 

애프터눈티 : 3시반~5시
해피아워 : 6시~10시
조식 : 6시반~10시
브런치 : 11시반~1시반
이렇게 4번인데 음식이 괜찮은 편이라 많이 먹게 됩니다. 

이런 라운지 혜택이 있는 호텔들 중에서 
괜찮은 곳들을 나중에도 올려보겠습니다. 

자막이 보이지 않으실 경우, 영상 설정에서 자막을 켜주시면 보실 수 있습니다.
영상 봐 주셔서 감사드립니다!

(서울신라호텔)",2021. 3. 5.,신라호텔,더들리
3,랍스터 무한리필 바이킹스워프는 요즘에 어떻게 바뀌었을까?,https://www.youtube.com/watch?v=PuCBB-8Ibwg,"* Email : dudely610@gmail.com

-----------------------------------------

랍스터 무한리필집으로 유명한 바이킹스워프에 다녀왔습니다. 

가격은 100달러. 
달러로 계산도 되고 당일 환율에 맞춰서 원화로 계산도 되네요. 
점심과 저녁, 평일과 주말 상관없이 가격이 같습니다. 

랍스터를 좋아하고 해산물을 좋아하시는 분들에게는 괜찮은 곳이나
갑각류를 안 좋아하신다면 굳이 갈 필요 없는 곳이기도 합니다. ",2020. 9. 24.,바이킹스워프,더들리
4,그랜드 워커힐 더뷔페 - 주말 런치 장단점 비교후기,https://www.youtube.com/watch?v=W7xrSj5S2LY,"* Email : dudely610@gmail.com

-----------------------------------------

워커힐 더뷔페에 다녀왔습니다. 

선택과 집중이 좀 잘되어있는 호텔뷔페네요.

대게는 좀 곤란하지만
냉면과 참치가 상당히 괜찮았었네요. 

가격은 주중 100,000원
주말, 디너 115,000원 
저는 주말 런치 115,000원으로 다녀왔습니다. 

부족한 영상 봐 주셔서 감사드립니다. 
즐거운 하루 되세요!

-----------------------------------------",2020. 5. 19.,워커힐호텔,더들리
5,미슐랭3스타 신라호텔 라연 - 런치코스,https://www.youtube.com/watch?v=egFd72aNfik,"* Email : dudely610@gmail.com

-----------------------------------------

신라호텔에 있는 한식당인 라연에 다녀왔습니다. 
서울에 있는 미슐랭 3스타 2곳 중에 한곳입니다. 

콘티넨탈이랑 같이 23층에 있어서 뷰도 좋고 전반적인 분위기도 좋고
서버분들의 숙련도도 상당한 곳입니다. 

다만 가격대가 있어서 호불호가 있을 수 있는 곳이라고 생각이 들긴 하네요.
처음, 육전먹는 ",2020. 6. 11.,신라호텔,더들리
6,"리뉴얼 된 63빌딩 파빌리온 뷔페의 장단점은?! 1인 115,000원의 저녁 뷔페",https://www.youtube.com/watch?v=nkPvbySFhQg,"* Email : dudely610@gmail.com

-----------------------------------------

63빌딩에 있는 뷔페인 파빌리온에 다녀왔습니다.

올해 리뉴얼을 하면서 음식들이 더 좋아진 뷔페입니다. 
+ 가격도 올랐어요. 

점심은 97,000원
공휴일과 저녁은 115,000원입니다. 
저는 저녁에 다녀왔어요.

음식만 보실 분은 2분 50초부터 보시면 됩니다. 

자막이 보이지 않으실 경우, 영상 설정에서 자막을 켜 주시면 보실 수 있습니다. 
영상 봐주셔서 감사드립니다!

(63빌딩 파빌리온)",2021. 8. 12.,63빌딩,더들리
7,서울 조선호텔 뷔페 아리아의 장단점은?,https://www.youtube.com/watch?v=Nh7WuRomPxw,"* Email : dudely610@gmail.com

-----------------------------------------

소공동에 있는 조선호텔 뷔페인 아리아에 다녀왔습니다. 

3대뷔페라고 예전에 꼽히던 곳이지만
요즘에는 워낙에 비슷한 가격대가 많아지면서
이제는 그렇게 꼽지는 않긴 하죠. 

그래도 괜찮은 뷔페입니다. 

가격은 주중점심 101,000원
평일 저녁 122,000원
금요일 저녁, 휴일 점심, 저녁은 124,000원입니다. 
저는 주말 점심으로 다녀왔습니다. 

음식만 보실 분은 ",2020. 11. 4.,조선호텔,더들리
